@RELATION BothInningResults

@attribute 'InningId' numeric
@attribute 'BoundaryRuns Presentage' numeric
@attribute 'avgMeanRunsInBattingSegment' numeric
@attribute 'avgPressureFactor' numeric
@attribute 'averageRunsInBattingSegment' numeric
@attribute 'dotBowlPresentage' numeric
@attribute 'dotBowlToRunsRatio' numeric
@attribute 'FirstBatOrSecondBat' {1,2}
@attribute 'fourHitting Frequency' numeric
@attribute 'matchId' numeric
@attribute 'numberOfBattingSegment' numeric
@attribute 'numberOfWicketsLost' numeric
@attribute 'sixHittingFrequency' numeric
@attribute 'Class' {win,loss}

@data
46,27.06766917293233,2.1147540983606556,0.9344262295081968,2.1147540983606556,37.719298245614034,0.3233082706766917,2,7.894736842105263,23,61,10,4.385964912280702,loss
47,44.03669724770642,2,0.7058823529411765,2,52.58620689655172,0.5596330275229358,1,10.344827586206897,24,51,10,0.8620689655172413,loss
48,36.36363636363637,2.5428571428571427,0.8857142857142857,2.5428571428571427,41.935483870967744,0.35454545454545455,2,10.75268817204301,24,35,2,2.150537634408602,win
49,50.79365079365079,2.4166666666666665,0.9791666666666666,2.4166666666666665,47.93388429752066,0.4603174603174603,1,13.223140495867769,25,48,10,0.8264462809917356,loss
50,37.79527559055118,2.2448979591836733,0.8571428571428571,2.2448979591836733,43.58974358974359,0.4015748031496063,2,10.256410256410257,25,49,4,2.5641025641025643,win
51,33.333333333333336,2.4814814814814814,1.037037037037037,2.4814814814814814,42.74193548387097,0.3680555555555556,1,9.67741935483871,26,54,7,4.032258064516129,loss
52,40.54054054054054,3.1777777777777776,1.2444444444444445,3.1777777777777776,44.642857142857146,0.33783783783783783,2,13.392857142857142,26,45,3,6.25,win
53,34.95145631067961,1.6551724137931034,0.6379310344827587,1.6551724137931034,41.74757281553398,0.4174757281553398,1,8.737864077669903,27,58,10,1.941747572815534,loss
54,26.923076923076923,2.2439024390243905,0.926829268292683,2.2439024390243905,44.44444444444444,0.4230769230769231,2,7.070707070707071,27,41,3,3.0303030303030303,win
55,47.05882352941177,2.536231884057971,0.8840579710144928,2.536231884057971,20.634920634920636,0.13903743315508021,1,17.46031746031746,28,69,5,2.380952380952381,loss
56,42.5531914893617,3.0517241379310347,1.1379310344827587,3.0517241379310347,26.4,0.17553191489361702,2,16,28,58,6,4,win
57,37.2093023255814,2.883720930232558,1,2.883720930232558,40.816326530612244,0.31007751937984496,1,12.244897959183673,29,43,7,5.1020408163265305,win
58,48.38709677419355,2.5652173913043477,1.065217391304348,2.5652173913043477,36.36363636363637,0.2903225806451613,2,15.151515151515152,29,46,4,2.0202020202020203,loss
59,42.857142857142854,1.9705882352941178,0.7941176470588235,1.9705882352941178,38.52459016393443,0.3357142857142857,1,12.295081967213115,30,68,8,2.459016393442623,loss
60,45.39007092198582,3.4210526315789473,1.3157894736842106,3.4210526315789473,32.67326732673267,0.23404255319148937,2,15.841584158415841,30,38,2,1.9801980198019802,win
61,36.0655737704918,2.3125,0.7083333333333334,2.3125,42.608695652173914,0.4016393442622951,1,9.565217391304348,31,48,9,1.7391304347826086,loss
62,31.746031746031747,2.8974358974358974,1.0256410256410255,2.8974358974358974,42.15686274509804,0.3412698412698413,2,9.803921568627452,31,39,1,5.882352941176471,win
63,30.939226519337016,2.912280701754386,0.9824561403508771,2.912280701754386,30.53435114503817,0.22099447513812154,1,10.687022900763358,32,57,4,5.343511450381679,win
64,19.631901840490798,2.7586206896551726,0.8620689655172413,2.7586206896551726,37.704918032786885,0.2822085889570552,2,6.557377049180328,32,58,9,8.19672131147541,loss
